Country	City 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec 	Year 	Ref.
Afghanistan 	Kabul 	177.2 	178.6 	204.5 	232.5 	310.3 	353.4 	356.8 	339.7 	303.9 	282.6 	253.2 	182.4 	3,175.1 	?
Azerbaijan 	Baku 	89.9 	89.0 	124.0 	195.0 	257.3 	294.0 	313.1 	282.1 	222.0 	145.7 	93.0 	102.3 	2,207.4 	?
Bangladesh 	Dhaka 	279 	226 	217 	180 	155 	90 	62 	62 	90 	186 	240 	279 	2,066 	?
China 	Beijing 	194.1 	194.7 	231.8 	251.9 	283.4 	261.4 	212.4 	220.9 	232.1 	222.1 	185.3 	180.7 	2,670.8 	?
China 	Chongqing 	20.6 	29.7 	64.9 	93.6 	109.4 	97.7 	158.6 	167.0 	106.6 	50.4 	35.9 	20.4 	954.8 	?
China 	Lhasa 	250.9 	226.7 	246.1 	248.9 	276.6 	257.3 	227.4 	219.6 	229.0 	281.7 	267.4 	258.6 	2,990.2 	[75]
China 	Shanghai 	114.3 	119.9 	128.5 	148.5 	169.8 	130.9 	190.8 	185.7 	167.5 	161.4 	131.1 	127.4 	1,775.8 	?
China 	Ürümqi 	101.6 	128.8 	180.5 	248.0 	283.3 	282.7 	298.7 	301.0 	262.6 	224.4 	127.4 	84.3 	2,523.3 	[76]
Hong Kong 	Hong Kong 	143.0 	94.2 	90.8 	101.7 	140.4 	146.1 	212.0 	188.9 	172.3 	193.9 	180.1 	172.2 	1,835.6 	[77]
India 	Delhi 	214.6 	216.1 	239.1 	261.0 	263.1 	196.5 	165.9 	177.0 	219.0 	269.3 	247.2 	215.8 	2,684.6 	[78]
India 	Kolkata 	203.9 	201.2 	225.8 	235.4 	227.1 	123.1 	93.1 	104.9 	116.2 	182.6 	190.8 	203.4 	2,107.5 	[79]
India 	Mumbai 	269.5 	257.6 	274.3 	283.7 	296.2 	148.6 	73.4 	75.9 	165.1 	240.2 	245.8 	253.2 	2,583.5 	[80]
India 	Bangalore 	262.0 	248.0 	271.0 	257.0 	241.0 	137.0 	112.0 	114.0 	144.0 	173.0 	190.0 	212.0 	2,361.0 	[81]
Indonesia 	Jakarta 	189.1 	180.8 	238.7 	255.0 	260.4 	255.0 	282.1 	294.5 	300.7 	279.0 	231.0 	217.0 	2,983.3 	[82]
